,studentAnswer,referenceAnswer,ref_1,ref_2,accuracy
2774,Because it bubbled and fizz.,Bubbling means a gas has formed. Gas is a new material. A new material indicates a reaction.,Because it started to bubble or to fizz and it is the proof of gas.,Because the balloon expanded and filled with gas and it bubbled up.,incorrect
2775,Because it bubbled and when something bubbled it means a reaction occurred.,Bubbling means a gas has formed. Gas is a new material. A new material indicates a reaction.,Because it started to bubble or to fizz and it is the proof of gas.,Because the balloon expanded and filled with gas and it bubbled up.,incorrect
2776,Because the solution bubbled.,Bubbling means a gas has formed. Gas is a new material. A new material indicates a reaction.,Because it started to bubble or to fizz and it is the proof of gas.,Because the balloon expanded and filled with gas and it bubbled up.,incorrect
2777,I think it is because it started to bubble and because it would not do that if it was not a reaction.,Bubbling means a gas has formed. Gas is a new material. A new material indicates a reaction.,Because it started to bubble or to fizz and it is the proof of gas.,Because the balloon expanded and filled with gas and it bubbled up.,incorrect
2778,He knew because it bubbled.,Bubbling means a gas has formed. Gas is a new material. A new material indicates a reaction.,Because it started to bubble or to fizz and it is the proof of gas.,Because the balloon expanded and filled with gas and it bubbled up.,incorrect
2779,"Jorge knew a chemical reaction occurred, because the mixture began to bubble.",Bubbling means a gas has formed. Gas is a new material. A new material indicates a reaction.,Because it started to bubble or to fizz and it is the proof of gas.,Because the balloon expanded and filled with gas and it bubbled up.,incorrect
2780,He knew because a change occurred and it made a gas.,Bubbling means a gas has formed. Gas is a new material. A new material indicates a reaction.,Because it started to bubble or to fizz and it is the proof of gas.,Because the balloon expanded and filled with gas and it bubbled up.,correct
2781,He knew because when bubbles pop a gas is released into the air.,Bubbling means a gas has formed. Gas is a new material. A new material indicates a reaction.,Because it started to bubble or to fizz and it is the proof of gas.,Because the balloon expanded and filled with gas and it bubbled up.,correct
2782,"Because it was making gas, it was fizzing, it made some precipitant.",Bubbling means a gas has formed. Gas is a new material. A new material indicates a reaction.,Because it started to bubble or to fizz and it is the proof of gas.,Because the balloon expanded and filled with gas and it bubbled up.,correct
2783,Because the solution started to bubble.,Bubbling means a gas has formed. Gas is a new material. A new material indicates a reaction.,Because it started to bubble or to fizz and it is the proof of gas.,Because the balloon expanded and filled with gas and it bubbled up.,incorrect
2784,Because the container started to bubble up.,Bubbling means a gas has formed. Gas is a new material. A new material indicates a reaction.,Because it started to bubble or to fizz and it is the proof of gas.,Because the balloon expanded and filled with gas and it bubbled up.,incorrect
2785,Because he saw it fizz and bubble up.,Bubbling means a gas has formed. Gas is a new material. A new material indicates a reaction.,Because it started to bubble or to fizz and it is the proof of gas.,Because the balloon expanded and filled with gas and it bubbled up.,incorrect
